character,language,reading,usage,word_example,is_default_for_display,source,source_property,review_status
惚,zh-Hant-TW,hū,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
梧,yue-HK,ng4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
梧,zh-Hant-TW,wú,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
梧,zh-Hant-TW,wù,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
梧,zh-Hant-TW,yǔ,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
眺,yue-HK,tiu3,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
眺,zh-Hant-TW,tiào,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
祭,yue-HK,zai3,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
祭,zh-Hant-TW,jì,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
祭,zh-Hant-TW,zhài,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
陶,yue-HK,tou4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
陶,yue-HK,jiu4,mandarin-mapping:yáo,,false,unicode-unihan-17@17.0.0:kSMSZD2003Readings,kSMSZD2003Readings,source-attested-unreviewed
陶,zh-Hant-TW,táo,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
陶,zh-Hant-TW,yáo,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
陶,zh-Hant-TW,dào,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
傑,yue-HK,git6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
傑,zh-Hant-TW,jié,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
啼,yue-HK,tai4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
啼,zh-Hant-TW,tí,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
暑,yue-HK,syu2,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
暑,zh-Hant-TW,shǔ,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
棲,yue-HK,cai1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
棲,yue-HK,sai1,mandarin-mapping:xī,,false,unicode-unihan-17@17.0.0:kSMSZD2003Readings,kSMSZD2003Readings,source-attested-unreviewed
棲,zh-Hant-TW,qī,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
棲,zh-Hant-TW,xī,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
渲,yue-HK,hyun1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
渲,yue-HK,syun3,mandarin-mapping:xuàn,,false,unicode-unihan-17@17.0.0:kSMSZD2003Readings,kSMSZD2003Readings,source-attested-unreviewed
渲,zh-Hant-TW,xuàn,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
煮,yue-HK,zyu2,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
煮,zh-Hant-TW,zhǔ,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
萄,yue-HK,tou4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
萄,zh-Hant-TW,táo,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
詠,yue-HK,wing6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
詠,zh-Hant-TW,yǒng,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
鈕,yue-HK,nau2,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
鈕,zh-Hant-TW,niǔ,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
鈕,zh-Hant-TW,chǒu,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
傻,yue-HK,so4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
傻,zh-Hant-TW,shǎ,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
嗓,yue-HK,song2,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
嗓,zh-Hant-TW,sǎng,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
愈,yue-HK,jyu6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
愈,zh-Hant-TW,yù,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
暈,yue-HK,wan4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
暈,yue-HK,wan6,mandarin-mapping:yùn,,false,unicode-unihan-17@17.0.0:kSMSZD2003Readings,kSMSZD2003Readings,source-attested-unreviewed
暈,zh-Hant-TW,yūn,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
暈,zh-Hant-TW,yùn,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
溢,yue-HK,jat6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
溢,zh-Hant-TW,yì,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
稠,yue-HK,cau4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
稠,zh-Hant-TW,chóu,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
稠,zh-Hant-TW,tiáo,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
稠,zh-Hant-TW,diào,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
葡,yue-HK,pou4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
葡,zh-Hant-TW,pú,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
葡,zh-Hant-TW,bèi,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
賊,yue-HK,caak6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
賊,yue-HK,caak3,mandarin-mapping:zéi,,false,unicode-unihan-17@17.0.0:kSMSZD2003Readings,kSMSZD2003Readings,source-attested-unreviewed
賊,zh-Hant-TW,zéi,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
跤,yue-HK,gaau1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
跤,zh-Hant-TW,jiāo,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
跤,zh-Hant-TW,qiāo,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
嘍,yue-HK,lau4,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
嘍,yue-HK,lau1,mandarin-mapping:lou,,false,unicode-unihan-17@17.0.0:kSMSZD2003Readings,kSMSZD2003Readings,source-attested-unreviewed
嘍,zh-Hant-TW,lóu,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
嘍,zh-Hant-TW,lou,attested-count:46,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
嘍,zh-Hant-TW,lǒu,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
滲,yue-HK,sam3,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
滲,zh-Hant-TW,shèn,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
滲,zh-Hant-TW,sēn,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
滲,zh-Hant-TW,qīn,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
滲,zh-Hant-TW,lín,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
誘,yue-HK,jau5,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
誘,zh-Hant-TW,yòu,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
酷,yue-HK,huk6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
酷,zh-Hant-TW,kù,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
僵,yue-HK,goeng1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
僵,zh-Hant-TW,jiāng,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
嬉,yue-HK,hei1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
嬉,zh-Hant-TW,xī,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
嬉,zh-Hant-TW,xǐ,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
