character,unicode,unicode_hex,edb_presence,edb_version,edb_grade_level,moe_frequency_rank,moe_frequency_score,moe_frequency_band,hk_frequency_rank,foxchild_selection_rank,foxchild_selection_score,foxchild_selection_method,frequency_bucket,foxchild_frequency_tier,foxchild_frequency_tier_method,usage_level,literacy_level,curriculum_stage,curriculum_priority,cangjie,quick,root_count,code_length,first_root,last_root,cangjie_difficulty,cangjie_difficulty_method,simple_code_candidate,simple_code_candidate_method,radical,total_strokes,structure,left_right,top_bottom,surround,single,visual_complexity,visual_complexity_method,visual_complexity_confidence,unihan_definition,learner_definition_en,learner_definition_status,suggested_category,category_method,category_confidence,category_review_status,example_word,example_phrase,example_sentence,code_uniqueness,code_uniqueness_method,cangjie_first_root_group,source_frequency,source_cangjie,source_unihan,source_edb,source_opencc,last_verified,dataset_version
利,U+5229,5229,true,2007 (online edition accessed 2026-07-28),,351,0.0006063915,top-500,,348,0.927632951,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,HDLN,HN,4,4,H,N,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,18,7,unknown,,,,,2,total-stroke-count-proxy-v1,low,"gains, advantage, profit, merit",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,0.5,inverse-selected-preferred-code-collision-count-v1,cangjie-H,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
鐵,U+9435,9435,true,2007 (online edition accessed 2026-07-28),,352,0.0006050196,top-500,,349,0.9274244004,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,CJIG,CG,4,4,C,G,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,167,21,unknown,,,,,4,total-stroke-count-proxy-v1,low,"iron (element 26, Fe); strong, solid, firm",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-C,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
觀,U+89C0,89C0,true,2007 (online edition accessed 2026-07-28),,353,0.0006036477,top-500,,350,0.9272158498,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,TGBUU,TU,5,5,T,U,5,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,147,24,unknown,,,,,4,total-stroke-count-proxy-v1,low,"see, observe, view; appearance; hexagram ䷓",,unreviewed,actions,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-T,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
乙,U+4E59,4E59,true,2007 (online edition accessed 2026-07-28),,354,0.0006009038,top-500,,351,0.9270072993,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,NU,NU,2,2,N,U,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,5,1,unknown,,,,,1,total-stroke-count-proxy-v1,low,second; 2nd heavenly stem,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-N,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
象,U+8C61,8C61,true,2007 (online edition accessed 2026-07-28),,355,0.0006009038,top-500,,352,0.9267987487,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,NAPO,NO,4,4,N,O,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,152,11,unknown,,,,,2,total-stroke-count-proxy-v1,low,"elephant; ivory; figure, image",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-N,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
名,U+540D,540D,true,2007 (online edition accessed 2026-07-28),,356,0.000596788,top-500,,353,0.9265901981,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,NIR,NR,3,3,N,R,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,30,6,unknown,,,,,1,total-stroke-count-proxy-v1,low,"name, rank, title, position",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-N,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
草,U+8349,8349,true,2007 (online edition accessed 2026-07-28),,357,0.0005954161,top-500,,354,0.9263816475,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,TAJ,TJ,3,3,T,J,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,140,9,unknown,,,,,2,total-stroke-count-proxy-v1,low,"grass, straw, thatch, herbs",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-T,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
與,U+8207,8207,true,2007 (online edition accessed 2026-07-28),,358,0.0005954161,top-500,,355,0.926173097,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,HXYC,HC,4,4,H,C,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,134,13,unknown,,,,,3,total-stroke-count-proxy-v1,low,"and; with; to; for; give, grant",,unreviewed,actions,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-H,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
入,U+5165,5165,true,2007 (online edition accessed 2026-07-28),,359,0.0005926723,top-500,,356,0.9259645464,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,OH,OH,2,2,O,H,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,11,2,unknown,,,,,1,total-stroke-count-proxy-v1,low,"enter, come in(to), join",,unreviewed,actions,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-O,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
亮,U+4EAE,4EAE,true,2007 (online edition accessed 2026-07-28),,360,0.0005913003,top-500,,357,0.9257559958,edb-eligible-then-moe-corpus-order-v1,moe-character-00351-00360,tier-1-moe-top-500,moe-rank-bands-v1,,,,,YRBN,YN,4,4,Y,N,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,8,9,unknown,,,,,2,total-stroke-count-proxy-v1,low,"bright, brilliant, radiant, light",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,0.5,inverse-selected-preferred-code-collision-count-v1,cangjie-Y,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
排,U+6392,6392,true,2007 (online edition accessed 2026-07-28),,361,0.0005871846,top-500,,358,0.9255474453,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,QLMY,QY,4,4,Q,Y,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,64,11,unknown,,,,,2,total-stroke-count-proxy-v1,low,"row, rank, line",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Q,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
關,U+95DC,95DC,true,2007 (online edition accessed 2026-07-28),,362,0.0005871846,top-500,,359,0.9253388947,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,ANVIT,AT,5,5,A,T,5,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,169,19,unknown,,,,,4,total-stroke-count-proxy-v1,low,frontier pass; close; relation,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-A,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
認,U+8A8D,8A8D,true,2007 (online edition accessed 2026-07-28),,363,0.0005816969,top-500,,360,0.9251303441,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,YRSIP,YP,5,5,Y,P,5,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,149,14,unknown,,,,,3,total-stroke-count-proxy-v1,low,"recognize, know, understand",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Y,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
員,U+54E1,54E1,true,2007 (online edition accessed 2026-07-28),,364,0.0005762091,top-500,,361,0.9249217935,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,RBUC,RC,4,4,R,C,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,30,10,unknown,,,,,2,total-stroke-count-proxy-v1,low,"member; personnel, staff member",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-R,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
速,U+901F,901F,true,2007 (online edition accessed 2026-07-28),,365,0.0005762091,top-500,,362,0.924713243,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,YDL,YL,3,3,Y,L,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,162,10,unknown,,,,,2,total-stroke-count-proxy-v1,low,"quick, prompt, speedy",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Y,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
啊,U+554A,554A,true,2007 (online edition accessed 2026-07-28),,366,0.0005748372,top-500,,363,0.9245046924,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,RNLR,RR,4,4,R,R,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,30,10,unknown,,,,,2,total-stroke-count-proxy-v1,low,exclamatory particle,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-R,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
廠,U+5EE0,5EE0,true,2007 (online edition accessed 2026-07-28),,367,0.0005748372,top-500,,364,0.9242961418,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,IFBK,IK,4,4,I,K,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,53,15,unknown,,,,,3,total-stroke-count-proxy-v1,low,"factory, plant, workshop, mill",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-I,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
跑,U+8DD1,8DD1,true,2007 (online edition accessed 2026-07-28),,368,0.0005693495,top-500,,365,0.9240875912,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,RMPRU,RU,5,5,R,U,5,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,157,12,unknown,,,,,2,total-stroke-count-proxy-v1,low,"run, flee, leave in hurry",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-R,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
提,U+63D0,63D0,true,2007 (online edition accessed 2026-07-28),,369,0.0005679776,top-500,,366,0.9238790407,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,QAMO,QO,4,4,Q,O,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,64,12,unknown,,,,,2,total-stroke-count-proxy-v1,low,hold in hand; lift in hand,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Q,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
吹,U+5439,5439,true,2007 (online edition accessed 2026-07-28),,370,0.0005666057,top-500,,367,0.9236704901,edb-eligible-then-moe-corpus-order-v1,moe-character-00361-00370,tier-1-moe-top-500,moe-rank-bands-v1,,,,,RNO,RO,3,3,R,O,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,30,7,unknown,,,,,2,total-stroke-count-proxy-v1,low,"blow; puff; brag, boast",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-R,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
才,U+624D,624D,true,2007 (online edition accessed 2026-07-28),,371,0.0005652337,top-500,,368,0.9234619395,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,DH,DH,2,2,D,H,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,64,3,unknown,,,,,1,total-stroke-count-proxy-v1,low,"talent, ability; just, only",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-D,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
魚,U+9B5A,9B5A,true,2007 (online edition accessed 2026-07-28),,372,0.000561118,top-500,,369,0.9232533889,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,NWF,NF,3,3,N,F,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,195,11,unknown,,,,,2,total-stroke-count-proxy-v1,low,fish; surname; Kangxi radical 195,,unreviewed,people,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-N,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
考,U+8003,8003,true,2007 (online edition accessed 2026-07-28),,373,0.000559746,top-500,,370,0.9230448384,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,JKYS,JS,4,4,J,S,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,125,6,unknown,,,,,1,total-stroke-count-proxy-v1,low,"examine, test; investigate",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-J,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
試,U+8A66,8A66,true,2007 (online edition accessed 2026-07-28),,374,0.000559746,top-500,,371,0.9228362878,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,YRIPM,YM,5,5,Y,M,5,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,149,13,unknown,,,,,3,total-stroke-count-proxy-v1,low,"test, try, experiment",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Y,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
青,U+9752,9752,true,2007 (online edition accessed 2026-07-28),,375,0.0005556302,top-500,,372,0.9226277372,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,QMB,QB,3,3,Q,B,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,174,8,unknown,,,,,2,total-stroke-count-proxy-v1,low,"blue, green; young; Kangxi radical 174",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Q,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
滿,U+6EFF,6EFF,true,2007 (online edition accessed 2026-07-28),,376,0.0005542583,top-500,,373,0.9224191867,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,ETLB,EB,4,4,E,B,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,85,14,unknown,,,,,3,total-stroke-count-proxy-v1,low,"fill; full, satisfied",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-E,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
講,U+8B1B,8B1B,true,2007 (online edition accessed 2026-07-28),,377,0.0005542583,top-500,,374,0.9222106361,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,YRTTB,YB,5,5,Y,B,5,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,149,17,unknown,,,,,3,total-stroke-count-proxy-v1,low,explain; discuss; talk,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Y,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
門,U+9580,9580,true,2007 (online edition accessed 2026-07-28),,378,0.0005528864,top-500,,375,0.9220020855,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,AN,AN,2,2,A,N,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,169,8,unknown,,,,,2,total-stroke-count-proxy-v1,low,"gate, door, entrance, opening; Kangxi radical 169",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-A,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
歡,U+6B61,6B61,true,2007 (online edition accessed 2026-07-28),,379,0.0005528864,top-500,,376,0.9217935349,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,TGNO,TO,4,4,T,O,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,76,21,unknown,,,,,4,total-stroke-count-proxy-v1,low,"happy, pleased, glad; joy; to enjoy",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-T,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
毛,U+6BDB,6BDB,true,2007 (online edition accessed 2026-07-28),,380,0.0005515145,top-500,,377,0.9215849844,edb-eligible-then-moe-corpus-order-v1,moe-character-00371-00380,tier-1-moe-top-500,moe-rank-bands-v1,,,,,HQU,HU,3,3,H,U,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,82,4,unknown,,,,,1,total-stroke-count-proxy-v1,low,"hair, fur, feathers; coarse",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-H,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
便,U+4FBF,4FBF,true,2007 (online edition accessed 2026-07-28),,381,0.0005487706,top-500,,378,0.9213764338,edb-eligible-then-moe-corpus-order-v1,moe-character-00381-00390,tier-1-moe-top-500,moe-rank-bands-v1,,,,,OMLK,OK,4,4,O,K,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,9,9,unknown,,,,,2,total-stroke-count-proxy-v1,low,"convenience, ease; expedient",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-O,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
