character,foxchild_selection_rank,moe_frequency_rank,hk_frequency_rank,edb_presence,edb_source_glyph,unihan_definition,suggested_category,cangjie,quick,reading_count,decomposition_status,top_level_operator,register_review_status,review_tasks,review_priority_band
斯,621,625,,true,斯,"this, thus, such; to lop off; emphatic particle",general,TCHML,TL,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
影,622,626,,true,影,"shadow; image, reflection; photograph",general,AFHHH,AH,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
辦,623,627,,true,辦,"manage, do, handle; deal with",actions,YJKSJ,YJ,2,source-attested-unreviewed,⿴,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
室,624,628,,true,室,"room, home, house, chamber; 13th lunar mansion, determinative star α Pegasi (Markab)",general,JMIG,JG,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
害,625,629,,true,害,"injure, harm; destroy, kill",general,JQJR,JR,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
始,626,630,,true,始,"begin, start; then, only then",general,VIR,VR,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
座,627,631,,true,座,"seat; stand, base",general,IOOG,IG,2,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
琴,628,633,,true,琴,Chinese lute or guitar,general,MGOIN,MN,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
切,629,634,,true,切,"cut, mince, slice, carve",general,PSH,PH,5,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
京,630,635,,true,京,capital city,general,YRF,YF,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
刻,631,636,,true,刻,"carve, engrave; quarter hour",general,YOLN,YN,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
性,632,637,,true,性,"nature, character, sex",general,PHQM,PM,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
距,633,638,,true,距,distance; bird's spur,general,RMSS,RS,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
社,634,639,,true,社,"god of the soil and altars to him; group of families; company, society",general,IFG,IG,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
病,635,640,,true,病,"illness, sickness, disease",general,KMOB,KB,3,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
鄉,636,642,,true,鄉,country; rural; village,general,VHIIL,VL,4,source-attested-unreviewed,⿴,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
廣,637,643,,true,廣,"broad, wide, extensive",general,ITLC,IC,5,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
德,638,644,,true,德,"ethics, morality, virtue",general,HOJWP,HP,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
批,639,645,,true,批,"comment, criticize; wholesale",general,QPP,QP,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
呼,640,646,,true,呼,"breathe sigh, exhale; call, shout",general,RHFD,RD,7,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
區,641,647,,true,區,"area, district, region, ward; surname",people,SRRR,SR,7,source-attested-unreviewed,⿷,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
括,642,648,,true,括,"include, embrace, enclose",general,QHJR,QR,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
架,643,649,,true,架,"rack, stand, prop; prop up",general,KRD,KD,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
哩,644,650,,true,哩,mile,general,RWG,RG,8,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
粉,645,651,,true,粉,"powder, face powder; plaster",general,FDCSH,FH,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
閃,646,652,,true,閃,"flash; avoid, dodge, evade",general,ANO,AO,2,source-attested-unreviewed,⿵,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
頃,647,653,,true,頃,a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean,general,PMBC,PC,5,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
燈,648,655,,true,燈,"lantern, lamp",general,FNOT,FT,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
尾,649,656,,true,尾,"tail, extremity; end, stern; 6th lunar mansion, determinative star μ¹ Scorpii (Xamidimura)",general,SHQU,SU,3,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
查,650,657,,true,查,"investigate, examine, seek into",general,DAM,DM,5,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
穿,651,658,,true,穿,"penetrate, pierce, drill; wear",general,JCMVH,JH,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
停,652,659,,true,停,"stop, suspend, delay; suitable",general,OYRN,ON,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
務,653,660,,true,務,"affairs, business; must, should",general,NHHES,NS,7,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
精,654,661,,true,精,essence; semen; spirit,general,FDQMB,FB,4,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
擊,655,662,,true,擊,"strike, hit, beat; attack, fight",general,JEQ,JQ,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
蘋,656,663,,true,蘋,apple,general,TYHC,TC,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
古,657,664,,true,古,"old, classic, ancient",general,JR,JR,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
材,658,665,,true,材,"material, stuff; timber; talent",general,DDH,DH,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
差,659,666,,true,差,"to differ; different, wrong; nearly, almost; an officer",general,TQM,TM,10,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
默,660,667,,true,默,"silent; quiet, still; dark",general,WFIK,WK,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
