character,ids,top_level_operator,structure,components,component_count,source,source_commit,confidence,review_status,license
抽,⿰扌由,⿰,left-right,扌|由,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
抱,⿰扌包,⿰,left-right,扌|包,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
納,⿰糸内,⿰,left-right,糸|内,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
缺,⿰缶夬,⿰,left-right,缶|夬,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
討,⿰言寸,⿰,left-right,言|寸,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
猛,⿰犭孟,⿰,left-right,犭|孟,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
荷,⿱艹何,⿱,top-bottom,艹|何,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
熊,⿱能灬,⿱,top-bottom,能|灬,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
鄰,⿰粦⻏,⿰,left-right,粦|⻏,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
鋪,⿰金甫,⿰,left-right,金|甫,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
燃,⿰火然,⿰,left-right,火|然,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
繫,⿱𣪠糸,⿱,top-bottom,𣪠|糸,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
映,⿰日央,⿰,left-right,日|央,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
挺,⿰扌廷,⿰,left-right,扌|廷,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
雀,⿱小隹,⿱,top-bottom,小|隹,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
溝,⿰氵冓,⿰,left-right,氵|冓,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
摩,⿸麻手,⿸,surround,麻|手,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
燕,⿱⿱廿&CDP-8D76;灬,⿱,top-bottom,廿|&CDP-8D76;|灬,3,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
丁,丁,,single,丁,1,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
哭,⿱吅犬,⿱,top-bottom,吅|犬,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
救,⿰求攵,⿰,left-right,求|攵,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
陰,⿰⻖侌,⿰,left-right,⻖|侌,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
街,⿴行圭,⿴,surround,行|圭,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
截,⿹𢦏隹,⿹,surround,𢦏|隹,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
滴,⿰氵啇,⿰,left-right,氵|啇,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
噴,⿰口賁,⿰,left-right,口|賁,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
杜,⿰木土,⿰,left-right,木|土,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
咕,⿰口古,⿰,left-right,口|古,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
坡,⿰土皮,⿰,left-right,土|皮,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
奔,⿱大卉,⿱,top-bottom,大|卉,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
玲,⿰𤣩令,⿰,left-right,𤣩|令,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
限,⿰⻖艮,⿰,left-right,⻖|艮,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
紛,⿰糸分,⿰,left-right,糸|分,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
超,⿺走召,⿺,surround,走|召,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
碎,⿰石卒,⿰,left-right,石|卒,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
擴,⿰扌廣,⿰,left-right,扌|廣,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
讚,⿰言贊,⿰,left-right,言|贊,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
鑽,⿰金贊,⿰,left-right,金|贊,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
味,⿰口未,⿰,left-right,口|未,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
宙,⿱宀由,⿱,top-bottom,宀|由,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
紹,⿰糸召,⿰,left-right,糸|召,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
鹿,鹿,,single,鹿,1,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
寒,⿱𡨄冫,⿱,top-bottom,𡨄|冫,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
硬,⿰石更,⿰,left-right,石|更,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
塔,⿰土荅,⿰,left-right,土|荅,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
漢,⿰氵𦰩,⿰,left-right,氵|𦰩,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
仍,⿰亻乃,⿰,left-right,亻|乃,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
撲,⿰扌菐,⿰,left-right,扌|菐,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
秀,⿱禾乃,⿱,top-bottom,禾|乃,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
負,⿱⺈貝,⿱,top-bottom,⺈|貝,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
孫,⿰子系,⿰,left-right,子|系,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
扇,⿸户羽,⿸,surround,户|羽,2,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,source-attested,unreviewed,GPL-2.0-or-later
